Track Name,Artist,Album,Thumbnail URL,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Platonicos,https://i.scdn.co/image/ab67616d0000b273509c45194c1ef6c1cb509e5d,4HYDUMY0xSpeBr0AMY9cUz,0.845,0.677,11.0,-4.798,0.0,0.136,0.269,0.000917,0.108,0.68,90.013,audio_features,4HYDUMY0xSpeBr0AMY9cUz,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,https://api.spotify.com/v1/tracks/4HYDUMY0xSpeBr0AMY9cUz,https://api.spotify.com/v1/audio-analysis/4HYDUMY0xSpeBr0AMY9cUz,219048.0,4.0
Bring Me To Life,Evanescence,Fallen,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432,0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4.0,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,audio_features,0COqiPhxzoWICwFCS4eZcp,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893.0,4.0
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d,7MmG8p0F9N3C4AXdK6o6Eb,0.646,0.823,2.0,-4.123,0.0,0.0394,0.213,0.0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267.0,4.0
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4.0,-8.271,0.0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448.0,3.0
Crazy,Gnarls Barkley,St. Elsewhere,https://i.scdn.co/image/ab67616d0000b273ab051a2c680f39c0d9827706,2N5zMZX7YeL1tico8oQxa9,0.836,0.741,8.0,-1.609,1.0,0.0339,0.0172,0.0583,0.0826,0.611,111.963,audio_features,2N5zMZX7YeL1tico8oQxa9,spotify:track:2N5zMZX7YeL1tico8oQxa9,https://api.spotify.com/v1/tracks/2N5zMZX7YeL1tico8oQxa9,https://api.spotify.com/v1/audio-analysis/2N5zMZX7YeL1tico8oQxa9,182066.0,4.0
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,0rmGAIH9LNJewFw7nKzZnc,0.541,0.959,0.0,-2.947,0.0,0.0505,0.0663,2.18e-06,0.344,0.812,122.805,audio_features,0rmGAIH9LNJewFw7nKzZnc,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/tracks/0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,222707.0,4.0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,I Don't Want To Miss A Thing EP,https://i.scdn.co/image/ab67616d0000b273f039d2a6afcfab0827bb9bc0,6lEuFGrUqR9Yc6hSsHPnYP,0.39,0.649,2.0,-5.163,1.0,0.0345,0.172,0.0,0.216,0.144,121.16,audio_features,6lEuFGrUqR9Yc6hSsHPnYP,spotify:track:6lEuFGrUqR9Yc6hSsHPnYP,https://api.spotify.com/v1/tracks/6lEuFGrUqR9Yc6hSsHPnYP,https://api.spotify.com/v1/audio-analysis/6lEuFGrUqR9Yc6hSsHPnYP,299760.0,4.0
happier,Olivia Rodrigo,SOUR,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924,audio_features,2tGvwE8GcFKwNdAXMnlbfl,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,https://api.spotify.com/v1/tracks/2tGvwE8GcFKwNdAXMnlbfl,https://api.spotify.com/v1/audio-analysis/2tGvwE8GcFKwNdAXMnlbfl,175933.0,3.0
Murder on My Mind,YNW Melly,I AM YOU,https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0,7eBqSVxrzQZtK2mmgRG6lC,0.759,0.73,0.0,-7.985,0.0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,audio_features,7eBqSVxrzQZtK2mmgRG6lC,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,268434.0,4.0
Wait a Minute!,WILLOW,ARDIPITHECUS,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3.0,-5.279,0.0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520.0,4.0
